Gruppe,u,v,Felge,J,l,rho
A,3.714,-3.29,10,0.0594,78.62,
A,4.036,-3,7,0.0537,78,
A,3.73,-3.36,3,,,
A,4,-3.25,,,,
,,,,,,
B,4,-4.25,2,0.042,93,
B,3.84,-3.16,6,,110.26,0.0309
B,,,7,0.059,103.09,0.0178
B,3.859,-3.44,10,,49.6,0.028
B,,-3,1,,,
B,3.77,-2.98,5,0.085,,
,,,,,,
C,3.89,-2.83,5,0.0893,98.21,0.014
C,4.34,-3.17,2,0.604,94.04,0.0189
C,2.75,-3.06,,,110,0.024
,,,,,,
D,4.3,-3.2,7,0.0724,118,0.0161
D,4.19,-2.9,5,0.0888,80,0.017
D,4.1,-3,6,0.0838,,
D,4.1,-2.95,10,0.06,,
,,,,,,
E,4,-3.2,5,0.0809,107,0.0393
E,,,6,0.0728,86.1,0.038
E,,,10,0.0559,119,0.039
,,,,,,
F,4.09,-3.2,7,0.0528,149.58,0.021
F,3.98,-2.96,2,0.0404,80,0.024
F,4.2,-3.25,10,0.066,119.12,0.02
F,4.17,-3.1,5,0.071,71.25,0.02
F,,,6,0.0925,,
,,,,,,
G,4.01,-3.17,,,82,0.0237
G,,,,,125,0.044
G,,,,,76.7,0.019
,,,,,,
H,3.92,-3.2,2,0.0408,97.37,0.019
H,4.07,-2.92,1,0.0648,70.88,0.02
H,4.2,-2.93,7,0.051,78.8,0.0176
H,3.92,-2.96,6,0.07,,
,,,,,,
I,4.06,-3.14,6,0.0879,100,0.02
I,4.27,-2.67,5,0.0833,71.8,0.0185
I,4.27,-2.67,2,0.0505,97.2,0.0189
,,,,,,
J,4.11,-3.07,5,0.0849,121.875,0.016
J,3.7,-3,1,0.0746,,
J,4.273,-2.692,7,0.0607,,
J,4.2,-2.73,2,0.0501,,
J,3.91,-3.77,6,0.0741,,
,,,,,,
K,4.33,-2.99,10,0.064,65,0.023
K,4.5,-3.39,,,108.06,0.00357
K,3.99,-3.12,,,,
,,,,,,
O,4.36,-2.92,7,0.0584,105,
O,4,-2.5,10,0.0639,57.21,0.035
O,4.4,-3.19,5,0.0768,111.95,0.0113
O,4.25,-3.16,6,0.089,86.84,0.0152
O,,,2,0.0659,48.15,0.0526
,,,,,,
P,4.62,-3.1,6,0.081,83,0.017
P,3.88,-3.21,1,0.059,189.77,0.0988
P,4.1,-3.22,7,0.053,118.05,0.0216
P,4.1,-3.14,,,63.61,0.0235
P,4.11,-3.1,,,111,0.0178
P,4.25,-3.56,,,,
,,,,,,
Q,4.04,-2.91,5,0.0848,110,0.091
Q,4.17,-2.82,2,0.0505,113,0.03
Q,3.93,-3.38,10,0.0509,77.8,0.034
Q,4,-2.9,1,0.066,86.88,0.038
Q,3.96,-3.15,7,0.0461,,
,,,,,,
R,4.1,-3.02,1,0.063,127,0.015
R,4.006,-3.06,7,0.0643,52.3,0.0264
R,3.98,-2.49,3,0.06,85.967,0.022
R,4.13,-2.93,,,,
R,3.56,-3.09,,,,
,,,,,,
Teilzeit,4.074,-3.27,7,0.0653,202.5,0.1e-4 Ohm mm
Teilzeit,,,1,0.0627,,
Teilzeit,,,6,0.0779,,
,,,,,,
1,4.0072,-2.9914,7,0.0495,125.88,0.0179
1,3.94,-3.19,5,0.0776,120.27,0.0179
1,4.01,-2.99,6,0.112,115.52,0.01914
1,3.99,-3.12,1,0.07,,
,,,,,,
2,3.195,-2.8,10,0.057,72.8,0.0261
2,4.03,-3.11,5,0.0921,84.3,0.0374
2,4,-3.18,2,0.0463,104.98,0.0377
2,4.07,-3.1,,,78.95,0.031465
,,,,,,
3,4.23,-2.92,6,0.0964,143,0.0438
3,3.893,-3.005,1,0.0763,,
3,3.94,-2.97,,,,
3,3.851,-2.993,,,,
,,,,,,
4,4.08,-3.05,7,0.058,220.539,0.00908
4,,,5,0.0922,113.41,0.022
4,,,10,0.056,,
4,,,1,0.0509,,
4,,,6,0.086,,
,,,,,,
5,3.82,-3.18,2,0.049,120,0.0125
5,4.05,-3.09,5,0.0846,111,0.041
5,,,10,0.06,,
,,,,,,
7,4.0559,-3.0246,8,0.494,110,
7,4.01,-3.11,6,0.081,80,
7,4.03,-3.08,,,,
,,,,,,
Z1,4.0781,-3.1676,7,0.0985,55.56,0.027
Z2,4,-3.95,10,0.0573,87.8,0.0205
Z3,4.16,-3.16,1,0.0685,42,0.045
Z4,3.988,-3.102,5,0.086,,
Z5,,,2,0.047,,
,,,,,,
Z2,4.37,-2.76,6,0.091,89.67,0.0225
Z3,3.944,-2.814,5,0.086,62,0.022
Z4,4.07,-3.14,2,0.0407,,
Z5,4.027,-2.9,,,,